max_iters,n_embd,n_head,block_size,n_layer,device,dataset,activation_variant,softmax_variant_attn,norm_variant_attn,Val_loss,Training_time (min)
20000,512,1,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.1469,30.38
20000,512,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.2385,52.6
20000,512,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.8942,98.52
20000,512,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.321,20.76
20000,512,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3189,30.16
20000,512,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.6471,49
20000,512,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.8183,92.28
20000,512,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.1326,20.64
20000,512,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.0694,29.07
20000,512,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,3.9757,50.96
20000,512,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.7709,92.22
20000,512,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4902,21.28
20000,512,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2125,29.93
20000,512,8,256,6,cuda,openwebtext,relu,softmax,rmsnorm,3.956,50.92
20000,512,8,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.8008,92.34
20000,768,1,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.6441,25.61
20000,768,1,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.6237,40.78
20000,768,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.2674,73.68
20000,768,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1173,139.62
20000,768,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.6616,25.23
20000,768,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.7274,39.99
20000,768,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.697,71.1
20000,768,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,5.7392,134.94
20000,768,3,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.8005,24.81
20000,768,3,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.8342,38.9
20000,768,3,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.8231,68.82
20000,768,3,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.7795,130.14
20000,768,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.8979,24.5
20000,768,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.643,39.1
20000,768,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.9311,68.7
20000,768,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,5.9058,127.5
20000,768,6,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.9277,23.69
20000,768,6,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.3397,39.11
20000,768,6,256,6,cuda,openwebtext,relu,softmax,rmsnorm,6.0211,68.34
20000,768,6,512,6,cuda,openwebtext,relu,softmax,rmsnorm,5.9726,126.9
20000,768,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.9207,26.36
20000,768,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,6.0218,38.06
20000,768,8,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.8832,67.92
20000,768,8,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.7415,130.02
20000,768,12,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.992,23.57
20000,768,12,128,6,cuda,openwebtext,relu,softmax,rmsnorm,5.3654,39.35
20000,768,12,256,6,cuda,openwebtext,relu,softmax,rmsnorm,5.6561,68.04
20000,768,12,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.6669,130.02
