block_size,mlp_expansion_factor,n_embd,n_head,n_layer,num_params,best_val_loss,better_than_chance,btc_per_param
1024,8,512,4,14,99671040,3.547714,,
1024,8,512,8,14,99671040,3.53134,,
1024,8,768,4,5,98374656,3.476228,,
1024,8,768,6,5,98374656,3.456124544,,
1024,8,768,8,5,98374656,3.471152,,
1024,8,768,12,5,98374656,3.461932898,,
1024,8,1024,4,2,94459904,3.60069,,
1024,8,1024,8,2,94459904,3.567296,,
512,4,1024,1,3,,,,
512,8,384,1,24,,,,
512,6,384,1,30,,,,
512,4,1024,1,3,89743360,11.05483,,
256,6,384,2,32,,,,
256,6,384,16,32,,,,
256,6,384,2,32,,,,
256,6,384,16,32,,,,
256,6,384,2,32,,,,
256,6,384,16,32,,,,
512,6,384,2,32,,,,
512,6,384,16,32,95017728,10.8767,,
256,4,512,2,22,95091712,10.91432,,
256,4,512,16,22,95091712,10.91447,,
256,2,512,2,33,95102976,10.89198,,
256,2,512,16,33,95102976,10.89251,,
512,4,512,2,22,95222784,10.91473,,
512,4,512,16,22,95222784,10.91605,,
512,2,512,2,33,95234048,10.89802,,
512,2,512,16,33,95234048,10.89785,,
1024,8,1024,2,2,,,,
1024,8,1024,16,2,,,,
1024,2,1024,2,5,,,,
1024,2,1024,16,5,,,,
1024,6,384,2,32,,,,
1024,6,384,16,32,,,,
256,6,384,2,32,94919424,4.068704,,
256,6,384,16,32,94919424,3.937401,,
512,6,384,2,32,95017728,3.778097,,
512,6,384,16,32,95017728,3.665168,,
256,4,512,2,22,95091712,4.274662,,
256,4,512,16,22,95091712,3.845817,,
256,2,512,2,33,95102976,4.048613,,
256,2,512,16,33,95102976,3.8687,,
512,4,512,2,22,95222784,6.145547,,
512,4,512,16,22,95222784,3.681823,,
512,2,512,2,33,95234048,3.818588,,
512,2,512,16,33,95234048,3.633371,,
1024,8,1024,2,2,94459904,3.730357,,
1024,8,1024,16,2,94459904,3.582684,,
1024,2,1024,2,5,94466048,3.908157,,
1024,2,1024,16,5,94466048,3.510072,,
1024,6,384,2,32,95214336,3.61111,,
1024,6,384,16,32,95214336,3.510804,,
256,6,768,2,6,95427072,5.642092,,
256,6,768,16,6,95427072,3.849094,,
256,4,768,2,8,95430144,5.698452,,
256,4,768,16,8,95430144,3.846652,,
256,2,768,2,12,95436288,3.976313,,
256,2,768,16,12,95436288,3.844133,,
1024,4,512,2,22,95484928,3.572592,,
1024,4,512,16,22,95484928,3.51532,,
512,6,768,2,6,95623680,5.562956,,
512,6,768,16,6,95623680,3.611841,,
512,4,768,2,8,95626752,4.338023,,
512,4,768,16,8,95626752,3.609685,,
1024,2,512,2,33,95496192,3.625879,,
1024,2,512,16,33,95496192,3.492349,,
512,2,768,2,12,95632896,5.679098,,
512,2,768,16,12,95632896,3.647078,,
256,8,384,2,26,96094464,4.109758,,
256,8,384,16,26,96094464,3.905368,,
512,8,384,2,26,96192768,3.745747,,
512,8,384,16,26,96192768,3.687347,,
1024,8,384,2,26,96389376,3.664595,,
1024,8,384,16,26,96389376,3.561992,,
1024,6,768,2,6,96016896,3.589122,,
1024,6,768,16,6,96016896,3.503983,,
1024,4,768,2,8,96019968,3.576694,,
1024,4,768,16,8,96019968,3.460866,,
1024,2,768,2,12,96026112,3.54317,,
1024,2,768,16,12,96026112,3.479096,,
256,2,1536,2,1,96466944,5.476336,,
256,2,1536,16,1,96466944,4.608863,,
256,6,512,2,17,97183744,3.963905,,
256,6,512,16,17,97183744,3.879269,,
256,2,512,2,34,97201152,3.934901,,
256,2,512,16,34,97201152,3.869029,,
256,6,384,2,33,97279488,3.929917,,
256,6,384,16,33,97279488,3.880781,,
512,6,384,2,33,97377792,3.827777,,
512,6,384,16,33,97377792,3.69196,,
512,6,512,2,17,97314816,3.690503,,
512,6,512,16,17,97314816,3.663759,,
512,2,512,2,34,97332224,3.727916,,
512,2,512,16,34,97332224,3.661623,,
512,2,1536,2,1,96860160,4.328032,,
512,2,1536,16,1,96860160,4.129347,,
1024,6,384,2,33,97574400,3.626204,,
1024,6,384,16,33,97574400,3.572588,,
256,8,768,2,5,97784832,4.184704,,
256,8,768,16,5,97784832,3.848384,,
1024,6,512,2,17,97576960,3.578231,,
1024,6,512,16,17,97576960,3.458421,,
1024,2,512,2,34,97594368,3.749524,,
1024,2,512,16,34,97594368,3.451797,,
256,4,512,2,23,98238464,4.055523,,
256,4,512,16,23,98238464,3.878456,,
512,8,768,2,5,97981440,5.366939,,
512,8,768,16,5,97981440,3.615194,,
512,4,512,2,23,98369536,3.705856,,
512,4,512,16,23,98369536,3.626481,,
256,8,384,2,27,99044352,3.940913,,
256,8,384,16,27,99044352,3.918529,,
1024,4,512,2,23,98631680,3.540069,,
1024,4,512,16,23,98631680,3.479331,,
1024,8,768,2,5,98374656,3.592923,,
1024,8,768,16,5,98374656,3.454717,,
1024,2,1536,2,1,97646592,4.118748,,
1024,2,1536,16,1,97646592,4.001627,,
512,8,384,2,27,99142656,3.780412,,
512,8,384,16,27,99142656,3.666106,,
256,8,512,2,14,99277824,4.206666,,
256,8,512,16,14,99277824,3.843992,,
256,2,512,2,35,99299328,3.928065,,
256,2,512,16,35,99299328,3.86437,,
512,8,512,2,14,99408896,3.767658,,
512,8,512,16,14,99408896,3.63187,,
512,2,512,2,35,99430400,3.680488,,
512,2,512,16,35,99430400,3.661695,,
1024,8,384,2,27,99339264,3.595132,,
1024,8,384,16,27,99339264,3.53909,,
256,6,384,2,34,99639552,4.08918,,
256,6,384,16,34,99639552,3.914549,,
512,6,384,2,34,99737856,3.741922,,
512,6,384,16,34,99737856,3.65409,,
1024,8,512,2,14,99671040,3.571487,,
1024,8,512,16,14,99671040,3.540785,,
1024,2,512,2,35,99692544,3.727142,,
1024,2,512,16,35,99692544,3.469582,,
1024,6,384,2,34,99934464,3.634457,,
1024,6,384,16,34,99934464,3.499172,,
256,2,768,2,13,100000000,6.003802,,
256,2,768,16,13,100000000,3.846131,,
512,2,768,2,13,100000000,6.212759,,
512,2,768,16,13,100000000,3.619969,,
256,6,512,2,18,101000000,5.69223,,
256,6,512,16,18,101000000,3.854138,,
256,4,512,2,24,101000000,3.898519,,
256,4,512,16,24,101000000,3.856243,,
256,2,512,2,36,101000000,4.188583,,
256,2,512,16,36,101000000,3.88621,,
1024,2,768,2,13,101000000,5.896188,,
1024,2,768,16,13,101000000,3.470403,,
512,6,512,2,18,102000000,3.730452,,
512,6,512,16,18,102000000,3.650394,,
512,4,512,2,24,102000000,3.805254,,
512,4,512,16,24,102000000,3.670624,,
512,2,512,2,36,102000000,3.788395,,
512,2,512,16,36,102000000,3.634595,,
256,8,384,2,28,102000000,4.018406,,
256,8,384,16,28,102000000,3.890275,,
256,6,384,2,35,102000000,3.899218,,
256,6,384,16,35,102000000,3.892004,,
512,8,384,2,28,102000000,3.780712,,
512,8,384,16,28,102000000,3.656374,,
512,6,384,2,35,102000000,3.736707,,
512,6,384,16,35,102000000,3.67551,,
1024,6,512,2,18,102000000,3.625404,,
1024,6,512,16,18,102000000,3.45512,,
1024,4,512,2,24,102000000,3.675108,,
1024,4,512,16,24,102000000,3.478803,,
1024,2,512,2,36,102000000,3.608896,,
1024,2,512,16,36,102000000,3.456511,,
256,6,1024,2,3,102000000,4.97007,,
256,6,1024,16,3,102000000,4.00356,,
