Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
13,3,5,3.724,1.08,1.08,64,128,64,4.804,N/A,N/A,0.338,914559.6352,125767,21691,104076,0.2,0.00898,1.8e-07,0.209,0.0574,0.0722,2.16e-07,0.13,125782,128957,22241,25416,125767,914559.6352,0,0,0,105
13,4,5,3.839,0.958,0.958,1024,1536,32,4.797,N/A,N/A,0.806,3345711.3024,460076,86790,373286,0.715,0.00349,7.02e-07,0.719,0.0322,0.055,5.18e-07,0.0872,460163,461917,87125,88879,460076,3345711.3024,0,0,0,443
13,5,5,3.628,1.181,1.181,128,64,128,4.809,N/A,N/A,0.592,1785152.102399,244753,42911,201842,0.379,0.0113,3.54e-07,0.39,0.0883,0.114,3.74e-07,0.202,244624,250660,43909,49945,244753,1785152.102399,0,0,0,196
14,0,5,3.608,1.202,1.202,1536,32,32,4.8100000000000005,N/A,N/A,0.535,2136999.552001,294915,55046,239869,0.457,0.00364,4.46e-07,0.461,0.0287,0.0453,3.43e-07,0.074,295002,296751,55376,57125,294915,2136999.552001,0,0,0,285
14,1,5,3.948,0.844,0.844,512,256,64,4.792,N/A,N/A,0.675,2320727.011199,322283,58555,263728,0.511,0.0131,4.77e-07,0.524,0.0659,0.0846,4.29e-07,0.151,322298,325477,59109,62288,322283,2320727.011199,0,0,0,296
14,2,5,3.628,1.181,1.181,64,64,128,4.809,N/A,N/A,0.516,1469156.5376,204665,34719,169946,0.31,0.0105,2.87e-07,0.321,0.0859,0.11,3.28e-07,0.195,204536,210571,35716,41751,204665,1469156.5376,0,0,0,143
14,3,5,3.801,0.999,0.999,64,1024,128,4.8,N/A,N/A,1.55,6127788.284797,842111,157599,684512,1.31,0.00865,1.28e-06,1.31,0.0953,0.145,1e-06,0.24,841982,848021,158600,164639,842111,6127788.284797,0,0,0,1052
14,4,5,3.597,1.213,1.213,32,256,64,4.8100000000000005,N/A,N/A,0.4,1150747.407999,161779,27835,133944,0.255,0.0107,2.3e-07,0.266,0.0599,0.0737,2.68e-07,0.134,161794,164969,28385,31560,161779,1150747.407999,0,0,0,146
14,5,5,3.478,1.339,1.339,256,32,128,4.817,N/A,N/A,0.722,2253112.163199,317009,55199,261810,0.493,0.0162,4.53e-07,0.51,0.094,0.118,4.7e-07,0.212,316880,322916,56197,62233,317009,2253112.163199,0,0,0,281
15,0,5,4.051,0.736,0.736,256,512,32,4.787,N/A,N/A,0.334,1175562.457599,164217,29446,134771,0.255,0.00585,2.41e-07,0.261,0.0312,0.0423,2.16e-07,0.0735,164304,166054,29777,31527,164217,1175562.457599,0,0,0,137
15,1,5,3.734,1.069,1.069,1024,32,64,4.803,N/A,N/A,0.797,3013797.971201,416662,76987,339675,0.647,0.00763,6.25e-07,0.655,0.0594,0.0834,5.2e-07,0.143,416677,419854,77539,80716,416662,3013797.971201,0,0,0,404
15,2,5,3.957,0.835,0.835,256,1536,128,4.792,N/A,N/A,2.36,9557860.496002,1315306,247711,1067595,2.05,0.0144,2.01e-06,2.07,0.112,0.178,1.51e-06,0.29,1315177,1321219,248715,254757,1315306,9557860.496002,0,0,0,2915
15,3,5,3.564,1.249,1.249,256,128,32,4.813000000000001,N/A,N/A,0.231,709930.88,98960,17158,81802,0.155,0.00567,1.42e-07,0.16,0.0309,0.0397,1.53e-07,0.0705,99047,100795,17487,19235,98960,709930.88,0,0,0,83
15,4,5,3.451,1.367,1.367,32,128,64,4.818,N/A,N/A,0.317,832190.6368,115418,19643,95775,0.183,0.00899,1.63e-07,0.192,0.0556,0.0691,2.07e-07,0.125,115433,118607,20192,23366,115418,832190.6368,0,0,0,97
15,5,5,3.668,1.139,1.139,32,64,64,4.807,N/A,N/A,0.277,675052.4288,95165,15547,79618,0.148,0.00826,1.3e-07,0.156,0.0536,0.0667,1.84e-07,0.12,95180,98353,16095,19268,95165,675052.4288,0,0,0,79
16,0,5,3.594,1.217,1.217,256,1536,16,4.811,N/A,N/A,0.31,1235142.099199,172284,31302,140982,0.264,0.00301,2.55e-07,0.267,0.017,0.026,2.1e-07,0.043,172407,173446,31524,32563,172284,1235142.099199,0,0,0,150
16,1,5,3.887,0.909,0.909,2048,2048,16,4.796,N/A,N/A,0.616,2643255.091199,365088,68166,296922,0.562,0.00217,5.51e-07,0.564,0.0182,0.034,4.04e-07,0.0521,365211,366253,68391,69433,365088,2643255.091199,0,0,0,327
16,2,5,3.845,0.953,0.953,512,512,64,4.798,N/A,N/A,0.802,2933678.630399,406086,74939,331147,0.64,0.0116,6.09e-07,0.652,0.0639,0.0866,4.97e-07,0.15,406101,409281,75494,78674,406086,2933678.630399,0,0,0,376
16,3,5,3.482,1.335,1.335,2048,32,16,4.817,N/A,N/A,0.345,1411133.388799,196092,35910,160182,0.3,0.00259,2.91e-07,0.303,0.0161,0.0257,2.3e-07,0.0418,196215,197251,36129,37165,196092,1411133.388799,0,0,0,172
16,4,5,3.649,1.159,1.159,32,512,16,4.808,N/A,N/A,0.141,473880.7392,67807,11334,56473,0.102,0.00341,9.39e-08,0.106,0.0153,0.0202,9.82e-08,0.0355,67930,68964,11551,12585,67807,473880.7392,0,0,0,58
16,5,5,3.549,1.265,1.265,128,64,32,4.814,N/A,N/A,0.167,471866.3072,65772,11014,54758,0.101,0.0043,9.2e-08,0.105,0.027,0.0352,1.09e-07,0.0622,65859,67605,11341,13087,65772,471866.3072,0,0,0,55
17,0,5,3.804,0.996,0.996,256,512,128,4.8,N/A,N/A,1.26,4595438.640002,638462,116639,521823,0.999,0.0186,9.48e-07,1.02,0.103,0.139,8.03e-07,0.243,638333,644373,117641,123681,638462,4595438.640002,0,0,0,688
17,1,5,4.129,0.654,0.654,2048,512,32,4.7829999999999995,N/A,N/A,0.807,3344360.0064,460200,86790,373410,0.718,0.00454,7.02e-07,0.723,0.031,0.0528,5.05e-07,0.0838,460287,462040,87124,88877,460200,3344360.0064,0,0,0,508
17,2,5,3.564,1.249,1.249,128,128,32,4.813000000000001,N/A,N/A,0.189,552618.7552,76167,13062,63105,0.119,0.00484,1.09e-07,0.124,0.0286,0.037,1.22e-07,0.0656,76254,78001,13390,15137,76167,552618.7552,0,0,0,66
17,3,5,3.649,1.159,1.159,64,256,32,4.808,N/A,N/A,0.214,629568.8064,88662,15110,73552,0.138,0.0056,1.25e-07,0.143,0.0308,0.0398,1.4e-07,0.0706,88749,90496,15438,17185,88662,629568.8064,0,0,0,77
17,4,5,4.006,0.784,0.784,1024,128,128,4.79,N/A,N/A,1.64,6454051.196796,885168,165791,719377,1.38,0.0121,1.34e-06,1.39,0.0987,0.145,1.05e-06,0.244,885039,891079,166793,172833,885168,6454051.196796,0,0,0,1169
17,5,5,3.335,1.489,1.489,32,32,16,4.824,N/A,N/A,0.0721,178449.8976,27107,3654,23453,0.0387,0.00295,3.2e-08,0.0416,0.0135,0.0169,5.61e-08,0.0305,27230,28260,3867,4897,27107,178449.8976,0,0,0,26
17,6,5,3.75,1.053,1.053,512,512,16,4.803,N/A,N/A,0.205,768791.0816,108500,19014,89486,0.165,0.00332,1.56e-07,0.168,0.0156,0.0217,1.4e-07,0.0373,108623,109661,19235,20273,108500,768791.0816,0,0,0,94
17,7,5,3.962,0.83,0.83,64,1536,128,4.792,N/A,N/A,2.1,8608991.705613,1182292,223135,959157,1.84,0.00847,1.81e-06,1.84,0.0971,0.162,1.34e-06,0.259,1182163,1188203,224137,230177,1182292,8608991.705613,0,0,0,2713
18,0,5,3.948,0.844,0.844,2048,256,64,4.792,N/A,N/A,1.5,6061258.227196,833772,156859,676913,1.3,0.0106,1.27e-06,1.32,0.0716,0.109,9.62e-07,0.181,833787,836968,157415,160596,833772,6061258.227196,0,0,0,1423
18,1,5,3.564,1.249,1.249,1024,128,32,4.813000000000001,N/A,N/A,0.43,1641933.494399,225878,41734,184144,0.35,0.00426,3.39e-07,0.355,0.031,0.0445,2.81e-07,0.0755,225965,227715,42065,43815,225878,1641933.494399,0,0,0,190
18,2,5,3.592,1.218,1.218,128,1536,16,4.8100000000000005,N/A,N/A,0.291,1157059.711999,160826,29254,131572,0.246,0.00261,2.38e-07,0.249,0.0165,0.0256,1.95e-07,0.0421,160949,161987,29475,30513,160826,1157059.711999,0,0,0,141
