Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
14,6,6,3.566,2.246,2.246,64,64,64,5.811999999999999,N/A,N/A,0.245,754899.008,105207,17595,87612,0.137,0.00691,1.47e-07,0.144,0.045,0.0559,1.96e-07,0.101,105222,108396,18144,21318,105207,754899.008,0,0,0,92
14,7,6,3.666,2.142,2.142,256,64,16,5.808,N/A,N/A,0.0924,339946.0352,49164,7750,41414,0.0605,0.00265,6.51e-08,0.0632,0.0129,0.0164,8.49e-08,0.0292,49287,50321,7967,9001,49164,339946.0352,0,0,0,47
15,0,6,3.76,2.042,2.042,32,64,128,5.802,N/A,N/A,0.391,1305831.1456,183781,30623,153158,0.23,0.00854,2.54e-07,0.238,0.0667,0.0857,3.05e-07,0.152,183652,189686,31619,37653,183781,1305831.1456,0,0,0,124
15,1,6,4.117,1.667,1.667,64,2048,128,5.784,N/A,N/A,2.22,11110004.124908,1524393,288671,1235722,1.98,0.00729,2.33e-06,1.99,0.0859,0.151,1.68e-06,0.237,1524264,1530304,289673,295713,1524393,11110004.124908,0,0,0,4321
15,2,6,3.992,1.797,1.797,512,256,32,5.789,N/A,N/A,0.279,1175827.711999,164373,29446,134927,0.213,0.00519,2.41e-07,0.219,0.0259,0.0349,2.15e-07,0.0608,164460,166210,29777,31527,164373,1175827.711999,0,0,0,138
15,3,6,4.138,1.644,1.644,256,256,64,5.782,N/A,N/A,0.453,1707586.460799,238793,42171,196622,0.317,0.0113,3.46e-07,0.328,0.0561,0.0686,3.64e-07,0.125,238808,241986,42724,45902,238793,1707586.460799,0,0,0,217
15,4,6,3.782,2.018,2.018,128,1536,16,5.8,N/A,N/A,0.242,1157059.711999,160826,29254,131572,0.205,0.00217,2.38e-07,0.207,0.0138,0.0213,1.95e-07,0.0351,160949,161987,29475,30513,160826,1157059.711999,0,0,0,139
15,5,6,3.914,1.88,1.88,512,128,64,5.7940000000000005,N/A,N/A,0.494,2003111.142399,276150,50363,225787,0.365,0.00908,4.11e-07,0.374,0.052,0.0677,3.67e-07,0.12,276165,279343,50916,54094,276150,2003111.142399,0,0,0,264
16,0,6,3.941,1.852,1.852,512,1536,32,5.793,N/A,N/A,0.563,2718379.6416,374688,70406,304282,0.488,0.00398,5.7e-07,0.492,0.0273,0.0442,4.24e-07,0.0714,374775,376528,70740,72493,374688,2718379.6416,0,0,0,365
16,1,6,4.138,1.644,1.644,512,256,64,5.782,N/A,N/A,0.563,2320727.011199,322283,58555,263728,0.426,0.0109,4.77e-07,0.437,0.0549,0.0705,4.29e-07,0.125,322298,325477,59109,62288,322283,2320727.011199,0,0,0,298
16,2,6,4.156,1.625,1.625,64,1024,64,5.781,N/A,N/A,0.682,3094003.644801,426462,79035,347427,0.553,0.00633,6.41e-07,0.559,0.0506,0.0722,5.33e-07,0.123,426477,429655,79588,82766,426462,3094003.644801,0,0,0,417
16,3,6,4.087,1.698,1.698,128,1536,32,5.785,N/A,N/A,0.473,2257935.539201,310128,58118,252010,0.403,0.00339,4.71e-07,0.406,0.0259,0.0414,3.61e-07,0.0672,310215,311966,58450,60201,310128,2257935.539201,0,0,0,310
