Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,softmax_choice,max_context_length,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
14,4,5,5.46,-0.747,-0.747,SOFTMAX,64,4.713,N/A,N/A,0.0994,390947.4496,52763,9842,42921,0.0856,0.00195,8.83e-08,0.0876,0.00488,0.00696,6.16e-08,0.0118,52786,53000,9938,10152,52763,390947.4496,0,0,0,51
14,5,5,4.025,0.763,0.763,SOFTERMAX,128,4.788,N/A,N/A,0.0867,223081.4528,30615,5429,25186,0.054,0.00347,4.49e-08,0.0574,0.0116,0.0177,4.08e-08,0.0293,30640,30883,5551,5794,30615,223081.4528,0,0,0,33
14,6,5,6.044,-1.362,-1.362,SOFTMAX,512,4.6819999999999995,N/A,N/A,0.193,873938.175999,111160,20609,90551,0.175,0.00221,2.39e-07,0.177,0.00535,0.01,1.28e-07,0.0154,111183,111397,20705,20919,111160,873938.175999,0,0,0,117
14,7,5,6.082,-1.402,-1.402,SOFTMAX,768,4.68,N/A,N/A,0.253,1145323.455999,143831,26758,117073,0.229,0.00328,3.25e-07,0.232,0.00724,0.0137,1.69e-07,0.021,143854,144068,26854,27068,143831,1145323.455999,0,0,0,168
2,0,5,4.025,0.763,0.763,SOFTERMAX,128,4.788,N/A,N/A,0.0867,223081.4528,30615,5429,25186,0.054,0.00347,4.49e-08,0.0574,0.0116,0.0177,4.08e-08,0.0293,30640,30883,5551,5794,30615,223081.4528,0,0,0,33
2,1,5,6.044,-1.362,-1.362,SOFTMAX,512,4.6819999999999995,N/A,N/A,0.193,873938.175999,111160,20609,90551,0.175,0.00221,2.39e-07,0.177,0.00535,0.01,1.28e-07,0.0154,111183,111397,20705,20919,111160,873938.175999,0,0,0,118
2,2,5,6.131,-1.454,-1.454,SOFTMAX,1024,4.6770000000000005,N/A,N/A,0.304,1417130.390399,178067,32902,145165,0.278,0.00283,4.11e-07,0.281,0.00752,0.0162,2.18e-07,0.0237,178090,178304,32998,33212,178067,1417130.390399,0,0,0,221
2,3,5,5.779,-1.083,-1.083,SOFTMAX,256,4.696,N/A,N/A,0.137,591114.4256,77233,14460,62773,0.124,0.0019,1.52e-07,0.125,0.00426,0.00681,9.14e-08,0.0111,77256,77470,14556,14770,77233,591114.4256,0,0,0,75
2,4,5,5.46,-0.747,-0.747,SOFTMAX,64,4.713,N/A,N/A,0.0994,390947.4496,52763,9842,42921,0.0856,0.00195,8.83e-08,0.0876,0.00488,0.00696,6.16e-08,0.0118,52786,53000,9938,10152,52763,390947.4496,0,0,0,49
2,5,5,6.082,-1.402,-1.402,SOFTMAX,768,4.68,N/A,N/A,0.253,1145323.455999,143831,26758,117073,0.229,0.00328,3.25e-07,0.232,0.00724,0.0137,1.69e-07,0.021,143854,144068,26854,27068,143831,1145323.455999,0,0,0,169
2,6,5,6.044,-1.362,-1.362,SOFTMAX,512,4.6819999999999995,N/A,N/A,0.193,873938.175999,111160,20609,90551,0.175,0.00221,2.39e-07,0.177,0.00535,0.01,1.28e-07,0.0154,111183,111397,20705,20919,111160,873938.175999,0,0,0,118
2,7,5,4.133,0.649,0.649,SOFTERMAX,256,4.782,N/A,N/A,0.111,431525.1168,60434,10679,49755,0.0903,0.00129,8.7e-08,0.0916,0.0064,0.0126,7.85e-08,0.019,60459,60704,10801,11046,60434,431525.1168,0,0,0,55
